"ITCS ""Maria Lazzari"" - Catalogo delle sabbie",,,,,,,ultimo aggiornamento : 16/07/2019,,,,,,
N.,Provenienza geografica,,,,,,,tipologia,Anno raccolta,Scambio,Peculiarità ,Latitudine,Longitudine
205,Vulcano (nera e gialla-con pietra pomice),Messina,Isola di Vulcano/Eolie,Sicilia,Mar Tirreno,Italy,Europe,Marina,2005,No,,,
206,Parenzo ,Istria,,,Mar Adriatico,Croazia,Europe,Marina,2005,No,,,
207,Krk X,,Isola di Krk,,Mar Adriatico,Croazia,Europe,Marina,2005,No,,,
208,Rovigno,Istria,,,Mar Adriatico,Croazia,Europe,Marina,2005,No,,,
209,Irlanda,,,,Oceano Atlantico,Irlanda,Europe,Marina,2005,No,,,
210,Villaggio Nubiano ,Assul,,,Fiume Nilo,Egitto,Africa,Fluviale,2009,No,,,
211,Rosolina mare X,Rovigo,,Veneto,Mar Adriatico,Italy,Europe,Marina,2008,No,,,
212,Marina di Pietrasanta,Lucca,,Toscana,Mar Tirreno,Italy,Europe,Marina,2008,No,,,
213,Red Beach,Santorini,,,Mar Mediterraneo,Grecia,Europe,Marina,2008,No,,,
214,Santa Ponsa,Palma di Maiorca,Baleari,,Mare Mediterraneo,Spain,Europe,Marina,2008,No,,,
215,Formentor,Palma di Maiorca,Baleari,,Mare Mediterraneo,Spain,Europe,Marina,2008,No,,,
216,Cala Major,Palma di Maiorca,Baleari,,Mare Mediterraneo,Spain,Europe,Marina,2008,No,,,
217,Lloret de mar,Costa Brava,,Barcellona,Mar Mediterraneo,Spain,Europe,Marina,2005,No,,,
218,Sopot,Danzica,,,Mar Baltico,Polonia,Europe,Marina,2005,No,,,
219,Klaipeda,,,,Mar Baltico,Lituania,Europe,Marina,2005,No,,,
220,Playas del Este,Havana,,,Oceano Atlantico,Cuba,Central America,Marina,2005,No,,,
221,St.Julian's,,Isola di Malta,,Mar Mediterraneo,Malta,Europe,Marina,2009,Si poca,,,
222,Havana,Havana,,,Oceano Atlantico,Cuba,Central America,Marina,2005,No,,,
223,Djerba  deserto,,,,Mar Mediterraneo,Tunisia,Africa,Desertica,2005,No,,,
224,Isole Aran,,,,Oceano Atlantico,Irlanda,Europe,Marina,2005,No,,,
225,Cappadocia X,,,,,Turchia,Europe,,2005,No,,,
226,Tallin,,,,Mar Baltico,Estonia,Europe,Marina,2005,No,,,
227,Arena De Ronda,Malaga,,,Plaza de Toros,Spain,Europe,,2005,No,,,
228,Lido di Venezia X,Venezia,,Veneto,Mar Adriatico,Italy,Europe,Marina,2009,No,,,
229,Eraclea Minoa,Agrigento,,Sicilia,Mar Mediterraneo,Italy,Europe,Marina,2009,No,,,
230,Cefalù,Palermo,,Sicilia,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
231,Balestrate X,Palermo,,Sicilia,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
232,Swan Sea,,,Galles,Oceano Atlantico,Gran Bretagna,Europe,Marina,2009,No,,,
233,Baia Chia,Cagliari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
234,Piscinas (verso mare),Cagliari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,Si poca,,,
235,Piscinas (dune interne),Cagliari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,Si poca,,,
236,Torridelle Stelle Genn'e mari,Cagliari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,No,,,
237,Is Arutas,Oristano,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,Si poca,,,
238,Ialissos,,Rodi,,Mar Mediterraneo,Grecia,Europe,Marina,2009,No,,,
239,Veglia,,Isola Krk,,Mar Adriatico,Croazia,Europe,Marina,2009,No,,,
240,Stintino,Sassari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,Si poca,,,
241,Castelsardo,Sassari,,Sardegna,Mar Tirreno,Italy,Europe,Marina,2009,Si poca,,,
242,Fontainebleu X,Parigi,,x vetri di murano,Fiume Senna,France,Europe,Fluviale,2009,Si ,,,
